1,2,3,4,5,6
0.112,0.004,1.486,0.014,958496.8,1
-1.228,-0.066,0.335,0.116,-3388915.8,1
-0.262,-0.021,0.838,0.066,-885986.6,-1
0.007,0.0,1.017,0.025,131774.1,1
0.277,0.05,1.633,0.061,111200.4,1
0.438,0.061,2.368,0.089,5087933.8,1
0.081,0.028,1.415,0.07,18970.6,1
0.371,0.022,1.534,0.059,11668227.5,1
0.003,0.001,1.019,0.059,774.1,1
0.2,0.023,1.492,0.062,429257.0,1
0.112,0.049,1.954,0.071,20914.8,1
0.254,0.03,1.532,0.078,520342.5,1
-0.173,-0.017,0.768,0.031,-41575.5,1
-0.012,-0.004,0.912,0.042,-2517.8,1
0.599,0.112,1.892,0.255,620464.0,1
0.016,0.004,1.051,0.06,20628.3,1
0.03,0.004,1.047,0.052,20804.2,1
0.112,0.011,1.22,0.046,282277.6,1
0.131,0.038,1.833,0.06,93549.3,1
0.32,0.034,1.617,0.083,2037521.2,1
0.128,0.046,1.807,0.097,70151.6,1
0.037,0.003,1.042,0.019,36328.7,1
-0.037,-0.015,0.877,0.01,-7932.6,1
0.013,0.008,1.045,0.08,4955.7,1
0.115,0.054,1.948,0.112,51675.0,1
0.395,0.047,1.979,0.074,2657942.5,1
0.468,0.059,1.398,0.301,336271.5,1
0.021,0.005,1.062,0.042,6900.5,1
0.045,0.013,1.155,0.058,11322.7,1
-0.069,-0.03,0.791,0.087,-137393.8,1
0.348,0.042,2.006,0.071,1462649.1,1
0.01,0.004,1.024,0.02,9861.1,1
0.114,0.037,1.492,0.065,30943.4,1
-0.354,-0.044,-0.002,0.038,-83354.5,1
-0.042,-0.01,0.927,0.095,-11191.2,1
0.049,0.01,1.124,0.059,11312.2,1
0.002,0.0,0.996,0.054,411.9,1
0.103,0.009,1.046,0.055,90676.9,1
0.068,0.025,1.358,0.09,16594.2,1
0.085,0.018,1.22,0.081,51444.7,1
-0.218,-0.018,0.818,0.02,-228883.0,1
0.252,0.018,1.262,0.063,1258334.6,1
0.133,0.008,1.255,0.039,766109.4,1
0.068,0.011,1.128,0.088,18415.4,1
0.358,0.068,-32.614,0.049,188912.6,1
0.203,0.042,1.744,0.071,59795.2,1
0.125,0.044,2.298,0.093,510976.6,1
0.376,0.051,2.133,0.088,1974309.8,1
0.614,0.057,7.34,0.061,1414626.2,1
0.222,0.031,2.567,0.05,662457.3,1
-1.616,-0.113,0.304,0.091,-7614186.4,1
0.169,0.012,1.182,0.061,120023.0,1
0.006,0.005,1.069,0.075,1557.3,1
0.041,0.035,1.566,0.097,8151.2,1
0.57,-0.218,0.434,0.009,-5259069.3,-1
0.019,0.002,1.024,0.032,10283.3,1
-0.686,-0.066,0.655,0.113,-165157.3,1
0.035,0.01,1.092,0.074,10249.0,1
0.119,0.023,1.756,0.047,40833.3,1
0.159,0.038,2.03,0.065,64214.3,1
0.036,0.008,1.052,0.068,7876.6,1
0.113,0.024,1.543,0.055,34992.1,1
0.059,0.007,1.051,0.037,19179.0,1
0.072,0.024,1.267,0.089,22418.2,1
0.184,0.006,1.224,0.016,64025.9,1
0.165,0.022,1.273,0.039,41151.3,1
0.088,0.045,1.156,0.079,46748.1,1
0.015,0.005,1.201,0.155,3285.5,1
-1.508,-0.339,0.3,0.181,-108714.0,-1
0.117,0.012,1.503,0.039,43016.1,1
0.138,0.036,2.238,0.069,74259.1,1
0.024,0.005,1.069,0.035,5084.9,1
-0.02,-0.019,0.872,0.14,-4612.0,1
0.032,0.011,1.113,0.132,10465.3,1
0.148,0.12,2.321,0.202,36757.9,1
0.029,0.023,1.162,0.225,6102.0,1
0.029,0.006,1.046,0.086,7971.5,1
0.004,0.001,1.007,0.017,887.1,1
