1,2,3,4,5,6,7,8
0.739,0.422,0.007,-0.559,-0.023,3.786,0.041,1
0.148,106.518,0.053,-0.166,-0.015,1.918,0.093,1
0.795,0.342,0.034,0.129,0.011,0.837,0.082,1
0.883,0.581,0.026,0.145,0.011,0.831,0.076,1
0.868,0.522,0.065,0.316,0.036,0.562,0.113,1
0.84,0.309,0.029,0.015,0.002,0.954,0.157,1
0.586,0.184,0.056,0.47,0.045,0.527,0.095,1
0.623,0.537,0.051,0.019,0.006,0.937,0.306,1
0.853,0.765,0.058,0.123,0.015,0.775,0.12,1
0.548,0.084,0.04,0.013,0.005,0.945,0.395,1
0.845,0.733,0.071,0.17,0.02,0.735,0.119,1
0.904,1.09,0.038,0.082,0.007,0.851,0.084,1
0.69,0.698,0.047,0.0,0.0,1.0,0.292,1
0.732,0.948,0.197,0.263,0.031,0.839,0.117,1
0.661,0.761,0.06,0.003,0.001,0.99,0.275,1
0.889,0.469,0.043,0.117,0.012,0.835,0.101,1
0.882,0.654,0.043,0.1,0.008,0.856,0.084,1
0.726,0.43,0.048,0.076,0.019,0.714,0.248,1
0.811,0.656,0.09,0.271,0.033,0.646,0.12,1
0.674,0.868,0.067,0.073,0.022,0.709,0.309,1
0.832,0.926,0.011,0.027,0.002,0.961,0.083,1
0.803,0.304,0.01,0.17,0.029,0.755,0.173,1
0.451,0.021,0.056,-0.386,-0.211,5.976,0.546,1
0.651,0.366,0.053,0.01,0.003,0.959,0.302,1
0.861,0.338,0.046,0.162,0.018,0.738,0.108,1
0.526,1.007,0.329,0.241,0.028,0.853,0.118,1
0.725,0.51,0.018,0.002,0.0,1.011,0.224,1
0.754,0.564,0.028,0.005,0.001,0.99,0.191,1
0.77,0.571,0.039,-0.107,-0.024,1.394,0.223,1
0.851,0.657,0.048,0.152,0.018,0.691,0.117,1
0.659,0.822,0.054,0.106,0.034,0.689,0.321,1
0.756,0.355,-0.016,0.022,0.003,0.947,0.161,-1
0.615,0.3,0.108,-0.152,-0.041,1.273,0.271,1
0.902,0.536,0.041,0.146,0.014,0.798,0.093,1
0.777,0.165,0.025,0.303,0.052,0.754,0.173,1
0.849,0.599,0.07,0.244,0.017,0.862,0.071,1
0.702,0.987,0.081,-0.127,-0.031,1.348,0.244,1
0.828,0.862,0.05,0.019,0.003,0.953,0.157,1
0.703,0.344,0.032,0.172,0.015,0.829,0.089,1
0.781,0.645,0.052,0.125,0.011,0.887,0.086,1
0.886,0.375,0.02,0.063,0.004,0.874,0.057,1
0.794,0.453,0.059,0.083,0.009,0.89,0.105,1
0.633,0.627,0.047,0.065,0.011,0.781,0.173,1
0.77,0.518,0.061,0.029,0.006,0.916,0.196,1
0.622,0.793,0.045,0.096,0.031,0.395,0.325,1
0.786,0.58,0.061,0.181,0.028,0.604,0.152,1
0.905,0.1,0.048,0.53,0.048,0.195,0.09,1
0.84,1.069,0.047,0.143,0.02,0.573,0.136,1
0.318,1.722,0.049,0.099,0.014,0.584,0.146,1
0.923,0.504,0.041,0.145,0.009,0.858,0.062,1
0.354,0.803,0.047,0.001,0.0,0.994,0.624,1
0.615,0.0,0.041,-0.122,-0.047,2.014,0.382,1
0.74,0.447,0.066,0.059,0.008,0.942,0.129,1
0.802,0.836,0.127,0.003,0.0,0.998,0.14,1
0.855,0.371,0.02,0.168,0.02,0.883,0.117,1
0.504,0.96,0.082,0.066,0.029,0.643,0.437,1
0.778,1.291,0.055,0.045,0.01,0.831,0.215,1
0.859,0.365,0.028,0.058,0.007,0.936,0.118,1
0.827,0.35,0.033,0.032,0.005,0.885,0.171,1
0.876,0.579,0.054,0.218,0.02,0.84,0.091,1
0.791,0.789,0.048,0.002,0.0,0.993,0.196,1
0.646,0.513,0.047,0.017,0.002,0.976,0.103,1
0.923,0.353,0.036,0.033,0.002,0.979,0.048,1
0.594,0.644,0.079,0.04,0.015,0.933,0.392,1
0.339,1.869,0.136,0.105,0.048,0.717,0.454,1
0.912,0.105,0.021,0.004,0.0,0.957,0.087,1
0.811,0.177,0.025,0.051,0.01,0.667,0.189,1
0.951,0.349,0.018,0.097,0.005,0.887,0.048,1
0.166,1.081,0.117,-0.036,-0.03,1.199,0.829,1
0.859,0.069,0.041,0.042,0.005,0.881,0.124,1
0.311,0.0,0.068,0.008,0.005,0.938,0.689,1
0.176,3.943,0.149,0.009,0.006,0.942,0.655,1
0.871,0.323,0.043,0.044,0.004,0.93,0.099,1
0.882,0.246,0.025,0.164,0.018,0.838,0.11,1
