1,2,3,4,5,6
0.102,0.005,1.162,0.017,1002107.0,1
0.086,0.007,1.253,0.13,270256.5,1
0.014,0.001,1.028,0.022,276888.5,1
0.194,0.027,1.417,0.044,96542.7,1
0.365,0.05,2.088,0.078,4748714.1,1
0.035,0.006,1.138,0.036,8518.3,1
0.598,0.059,3.17,0.063,32609220.1,1
0.013,0.005,1.056,0.061,3364.5,1
0.178,0.023,1.41,0.07,458035.5,1
0.066,0.027,1.482,0.07,13049.7,1
0.208,0.027,1.47,0.078,538069.7,1
0.053,0.006,1.121,0.04,19054.1,1
0.003,0.001,1.021,0.037,697.1,1
0.287,0.033,1.211,0.226,268713.7,1
0.019,0.006,1.072,0.084,24455.6,1
0.081,0.011,1.143,0.052,62237.2,1
0.106,0.011,1.207,0.045,302932.8,1
0.154,0.047,1.997,0.064,122529.6,1
0.289,0.042,1.692,0.099,2623019.1,1
0.103,0.039,1.637,0.09,60074.9,1
0.031,0.003,1.076,0.013,28053.5,1
-0.171,-0.049,0.792,0.017,-27542.5,1
0.028,0.018,1.104,0.066,9979.4,1
0.007,0.003,1.031,0.082,3181.7,1
0.381,0.046,1.694,0.079,2580448.1,1
0.408,0.048,1.33,0.298,378128.8,1
-0.058,-0.014,0.863,0.025,-17982.4,1
0.004,0.001,1.006,0.037,1038.0,1
-0.064,-0.021,0.822,0.068,-121501.7,1
0.336,0.046,2.305,0.072,1729931.1,1
0.007,0.004,1.02,0.012,7548.6,-1
0.138,0.046,1.663,0.067,44309.3,1
0.0,0.0,1.037,-0.02,-110.3,1
0.033,0.009,1.062,0.113,9202.5,1
0.097,0.017,1.192,0.064,24409.7,1
0.022,0.004,1.033,0.049,5197.4,1
0.313,0.027,1.225,0.069,533015.4,1
0.076,0.025,1.416,0.085,20090.1,1
0.048,0.01,1.114,0.075,30797.2,1
0.219,0.027,1.293,0.025,309902.9,1
0.194,0.018,1.263,0.057,1591155.9,1
0.157,0.01,1.335,0.027,1299299.9,1
0.133,0.02,1.275,0.077,41182.9,1
0.062,0.012,1.019,0.054,34741.3,1
0.17,0.032,1.817,0.057,60124.9,1
0.166,0.051,3.546,0.074,709956.8,1
0.326,0.051,2.261,0.081,2536756.1,1
0.681,0.07,11.685,0.061,2214995.9,1
0.177,0.029,2.196,0.054,696225.2,1
0.033,0.005,1.089,0.102,271976.7,1
0.186,0.015,1.228,0.061,165477.6,1
0.016,0.013,1.08,0.064,3873.3,1
-0.023,-0.018,0.841,0.098,-4408.9,1
0.043,0.006,1.056,0.038,24353.5,1
0.341,0.042,1.18,0.12,124619.6,1
0.193,0.025,1.262,0.038,53234.6,1
0.15,0.043,2.899,0.057,59898.9,1
0.066,0.017,1.32,0.068,28232.0,1
0.024,0.004,1.035,0.047,5301.6,1
0.072,0.02,1.322,0.068,24105.5,1
0.186,0.016,1.163,0.038,63907.1,1
0.077,0.023,1.256,0.089,26063.6,1
0.141,0.015,1.253,0.051,57179.4,1
0.119,0.011,1.105,0.047,32541.2,1
0.03,0.016,1.074,0.096,15619.1,1
0.155,0.066,1.548,0.135,39290.6,1
0.121,0.016,1.547,0.049,44691.6,1
0.115,0.035,2.144,0.067,69855.2,1
0.086,0.009,1.16,0.021,19757.5,1
-0.087,-0.076,0.716,0.149,-18435.4,1
0.031,0.01,1.126,0.079,10224.7,1
0.056,0.039,1.631,0.11,14829.8,1
0.032,0.022,1.174,0.204,6945.6,1
0.025,0.004,1.036,0.075,7013.0,1
0.486,0.176,1.873,0.022,246343.5,1
