1,2,3,4,5,6,7,8
0.66,0.907,0.014,0.112,0.004,0.673,0.037,1
0.215,1.467,0.116,-1.228,-0.066,2.983,0.054,1
0.301,4.62,0.066,-0.262,-0.021,1.193,0.08,-1
0.687,0.446,0.025,0.007,0.0,0.983,0.063,1
0.768,0.84,0.061,0.277,0.05,0.612,0.18,1
0.807,0.818,0.089,0.438,0.061,0.422,0.139,1
0.654,0.326,0.07,0.081,0.028,0.707,0.339,1
0.477,0.231,0.059,0.371,0.022,0.652,0.06,1
0.552,1.029,0.059,0.003,0.001,0.981,0.369,1
0.829,0.94,0.062,0.2,0.023,0.67,0.114,1
0.423,0.025,0.071,0.112,0.049,0.512,0.436,1
0.844,0.821,0.078,0.254,0.03,0.653,0.117,1
0.888,0.82,0.031,-0.173,-0.017,1.303,0.098,1
0.619,0.762,0.042,-0.012,-0.004,1.097,0.355,1
0.716,0.989,0.255,0.599,0.112,0.529,0.188,1
0.688,0.602,0.06,0.016,0.004,0.951,0.23,1
0.83,0.47,0.052,0.03,0.004,0.955,0.132,1
0.836,0.902,0.046,0.112,0.011,0.82,0.094,1
0.663,0.626,0.06,0.131,0.038,0.546,0.295,1
0.734,0.677,0.083,0.32,0.034,0.618,0.107,1
0.602,1.194,0.097,0.128,0.046,0.553,0.364,1
0.844,0.95,0.019,0.037,0.003,0.96,0.094,1
0.584,0.638,0.01,-0.037,-0.015,1.14,0.401,1
0.256,0.473,0.08,0.013,0.008,0.957,0.654,1
0.471,0.76,0.112,0.115,0.054,0.513,0.472,1
0.813,0.644,0.074,0.395,0.047,0.505,0.119,1
0.609,1.023,0.301,0.468,0.059,0.715,0.126,1
0.703,0.744,0.042,0.021,0.005,0.941,0.243,1
0.669,0.788,0.058,0.045,0.013,0.866,0.286,1
0.546,0.517,0.087,-0.069,-0.03,1.265,0.438,1
0.814,0.818,0.071,0.348,0.042,0.498,0.12,1
0.578,0.884,0.02,0.01,0.004,0.976,0.41,-1
0.629,0.839,0.065,0.114,0.037,0.67,0.327,1
0.657,0.296,0.038,-0.354,-0.044,-442.642,0.125,1
0.611,0.518,0.095,-0.042,-0.01,1.079,0.248,1
0.78,0.614,0.059,0.049,0.01,0.889,0.203,1
0.707,0.893,0.054,0.002,0.0,1.004,0.23,1
0.716,0.717,0.055,0.103,0.009,0.956,0.084,1
0.624,1.186,0.09,0.068,0.025,0.736,0.365,1
0.761,0.793,0.081,0.085,0.018,0.819,0.218,1
0.692,0.485,0.02,-0.218,-0.018,1.222,0.081,1
0.795,0.62,0.063,0.252,0.018,0.792,0.072,1
0.829,0.693,0.039,0.133,0.008,0.797,0.062,1
0.733,0.683,0.088,0.068,0.011,0.886,0.16,1
0.582,0.445,0.049,0.358,0.068,-0.031,0.19,1
0.741,0.646,0.071,0.203,0.042,0.573,0.207,1
0.589,1.536,0.093,0.125,0.044,0.435,0.351,1
0.716,0.83,0.088,0.376,0.051,0.469,0.136,1
0.904,0.324,0.061,0.614,0.057,0.136,0.093,1
0.838,1.364,0.05,0.222,0.031,0.39,0.139,1
0.385,2.291,0.091,-1.616,-0.113,3.293,0.07,1
0.9,0.974,0.061,0.169,0.012,0.846,0.073,1
0.225,1.247,0.075,0.006,0.005,0.936,0.697,1
0.145,0.0,0.097,0.041,0.035,0.639,0.854,1
0.692,2.699,0.009,0.57,-0.218,2.304,-0.383,-1
0.798,0.852,0.032,0.019,0.002,0.976,0.119,1
0.595,0.732,0.113,-0.686,-0.066,1.526,0.096,1
0.696,0.83,0.074,0.035,0.01,0.915,0.272,1
0.703,2.609,0.047,0.119,0.023,0.569,0.194,1
0.755,1.448,0.065,0.159,0.038,0.493,0.238,1
0.711,0.594,0.068,0.036,0.008,0.951,0.22,1
0.77,0.618,0.055,0.113,0.024,0.648,0.215,1
0.847,0.723,0.037,0.059,0.007,0.952,0.116,1
0.655,0.743,0.089,0.072,0.024,0.789,0.333,1
0.887,0.213,0.016,0.184,0.006,0.817,0.034,1
0.845,0.478,0.039,0.165,0.022,0.786,0.135,1
0.464,0.793,0.079,0.088,0.045,0.865,0.507,1
0.522,1.237,0.155,0.015,0.005,0.833,0.346,1
0.278,2.158,0.181,-1.508,-0.339,3.334,0.225,-1
0.895,0.591,0.039,0.117,0.012,0.665,0.104,1
0.735,0.458,0.069,0.138,0.036,0.447,0.264,1
0.77,0.624,0.035,0.024,0.005,0.936,0.224,1
0.081,1.152,0.14,-0.02,-0.019,1.146,0.916,1
0.618,0.268,0.132,0.032,0.011,0.898,0.325,1
0.185,0.0,0.202,0.148,0.12,0.431,0.812,1
0.051,16.422,0.225,0.029,0.023,0.86,0.783,1
0.757,0.347,0.086,0.029,0.006,0.956,0.189,1
0.766,0.159,0.017,0.004,0.001,0.993,0.214,1
