1,2,3,4,5,6,7,8,9,10,11,12,13
0.037,1.2370053106189445,0.004,0.112,103.41,90.25,118.22,200.76,59.03,88.08,80.65,0.03131375410232017,1
0.054,0.3786366162134743,-0.066,-1.228,100.33,69.95,44.12,98.57,105.83,101.63,129.6,0.05051190312410675,1
0.08,0.47752203442628705,-0.021,-0.262,72.83,10.99,33.45,33.24,99.07,137.04,740.71,0.05421381444403341,-1
0.063,1.1265035678248623,0.0,0.007,98.32,102.12,24.0,40.22,88.05,94.89,48.3,0.03179471067738203,1
0.18,7.958492213907414,0.05,0.277,268.77,361.48,64.36,125.01,97.08,74.81,0.0,0.127991362759863,1
0.139,5.824715607757827,0.061,0.438,105.57,111.25,107.85,106.82,102.25,94.22,36.72,0.06292504096193696,1
0.339,1.2589624555634422,0.028,0.081,127.7,140.07,165.43,200.05,155.08,88.62,224.54,0.27745031067696707,1
0.06,0.30985577544600973,0.022,0.371,108.32,107.84,-45.04,-38.45,104.73,122.29,73.96,0.01875570381797665,1
0.369,1.988680968615783,0.001,0.003,119.84,114.74,224.83,211.74,103.77,74.91,0.0,0.2851696282964683,1
0.114,6.263718421439555,0.023,0.2,128.17,120.55,219.09,122.07,137.95,101.4,184.33,0.06670742036315218,1
0.436,0.34848711237703955,0.049,0.112,98.14,56.4,301.95,263.28,50.39,114.27,341.79,0.31881614675096587,1
0.117,5.909279086588794,0.03,0.254,115.22,110.15,112.29,94.94,100.34,100.5,110.73,0.07086946498374799,1
0.098,8.416858129575532,-0.017,-0.173,126.71,124.43,122.76,139.62,107.06,96.41,0.0,0.07350857639230081,1
0.355,1.64746598189413,-0.004,-0.012,95.75,86.24,-553.5,-544.5,129.73,140.08,0.0,0.345385584274111,1
0.188,5.070852337006489,0.112,0.599,104.84,99.96,212.22,134.81,117.81,101.14,89.69,0.06088290583528057,1
0.23,2.0634747683771777,0.004,0.016,115.56,125.2,-67.39,-77.34,100.34,163.36,15.96,0.1697451937095667,1
0.132,4.090538754144974,0.004,0.03,111.34,114.59,26.98,20.17,111.6,93.13,0.0,0.10689959873605863,1
0.094,5.374596328725947,0.011,0.112,98.99,106.42,549.51,490.57,71.14,104.86,46.79,0.06601879742041034,1
0.295,3.292483368577917,0.038,0.131,113.58,114.33,116.8,116.95,110.53,99.11,0.0,0.1608821211766651,1
0.107,2.507750897854981,0.034,0.32,108.58,109.29,238.8,198.62,92.4,106.41,76.24,0.06337255313416572,1
0.364,2.388154590118066,0.046,0.128,111.7,124.07,91.39,104.09,90.99,93.52,0.0,0.29211807495831515,1
0.094,6.195511142956752,0.003,0.037,108.95,112.3,568.39,598.73,111.97,104.27,123.56,0.07330041617254476,1
0.401,2.4715164455153493,-0.015,-0.037,116.5,155.8,30.17,36.44,190.52,62.77,0.0,0.32979831123785286,1
0.654,0.7736626162675054,0.008,0.013,39.38,59.18,-2.26,-1.38,94.55,109.4,0.0,0.5889413114053182,1
0.472,1.229807937209565,0.054,0.115,89.7,74.28,113.35,87.86,87.38,100.33,0.0,0.4016503034236059,1
0.119,4.479721549470671,0.047,0.395,107.44,114.95,168.59,150.1,115.95,93.74,0.0,0.0634294247606291,1
0.126,2.0388112718696783,0.059,0.468,131.89,109.14,184.03,142.85,58.35,98.82,0.0,0.052938048894941477,1
0.243,4.250023042410601,0.005,0.021,88.8,83.13,133.48,109.1,53.94,100.24,0.0,0.16689831898662963,1
0.286,2.6251674561066984,0.013,0.045,113.09,116.03,96.78,101.5,196.73,109.48,0.51,0.24218834298587533,1
0.438,1.068512875866395,-0.03,-0.069,87.01,83.22,143.29,64.36,192.96,96.55,0.76,0.34673261734587735,1
0.12,5.111270623739075,0.042,0.348,105.41,106.17,125.06,102.42,94.9,107.26,41.16,0.07444681771409933,1
0.41,4.384805872771712,0.004,0.01,101.06,99.32,544.1,496.64,75.11,132.85,0.0,0.18418911962835222,1
0.327,1.9539373465135061,0.037,0.114,108.11,107.4,111.1,106.74,106.0,90.27,0.0,0.2538259518697152,1
0.125,2.730581624230917,-0.044,-0.354,75.35,67.51,131.91,134.2,209.74,62.27,192.27,0.08212646506040655,1
0.248,1.1317506651906375,-0.01,-0.042,106.75,110.05,-12.19,-13.41,52.98,109.25,0.0,0.20606432373605957,1
0.203,3.1151370640738447,0.01,0.049,160.5,187.14,234.59,350.68,76.69,72.56,0.0,0.1646766393273859,1
0.23,4.111304496807861,0.0,0.002,117.89,103.81,189.57,223.09,123.91,99.76,132.39,0.18674553004445577,1
0.084,2.113719057273252,0.009,0.103,143.3,134.19,63.44,96.22,82.81,142.38,69.07,0.07190806122825807,1
0.365,2.57108517807106,0.025,0.068,130.87,148.7,422.15,457.07,91.48,104.95,0.0,0.32549740089637424,1
0.218,2.759592150679985,0.018,0.085,81.9,96.04,210.43,153.55,123.84,106.04,52.38,0.19227975145646423,1
0.081,1.9034765569350125,-0.018,-0.218,108.27,106.07,47.62,46.46,46.92,91.63,92.01,0.07263703436017997,1
0.072,3.364234664917791,0.018,0.252,119.76,126.4,175.93,165.59,141.21,116.01,2.28,0.0485835037028866,1
0.062,3.3287820749631125,0.008,0.133,115.24,107.47,105.89,119.24,131.3,84.46,346.28,0.06378566971499242,1
0.16,2.6769400317391026,0.011,0.068,132.19,135.41,97.74,120.47,136.93,98.51,0.0,0.127479041831326,1
0.19,2.0246799360575096,0.068,0.358,93.83,79.97,-58.01,-33.76,99.66,113.86,0.0,0.09834120969130791,1
0.207,2.4919846997216797,0.042,0.203,87.15,77.57,6060.27,4302.27,94.89,116.81,0.0,0.1609953258500917,1
0.351,2.16143863109562,0.044,0.125,110.26,107.99,231.51,234.41,169.08,146.63,114.66,0.15325950144336656,1
0.136,2.8833007792921865,0.051,0.376,107.51,104.31,179.79,133.53,98.96,99.61,93.71,0.07840814216008637,1
0.093,7.2237924797261615,0.057,0.614,129.35,131.66,106.81,110.34,124.37,100.72,48.19,0.03494389003804948,1
0.139,6.253458900336556,0.031,0.222,123.34,98.57,110.23,91.42,53.03,97.0,148.36,0.10766120871997882,1
0.07,0.5509597689733291,-0.113,-1.616,106.93,76.16,-5376.07,-6388.5,77.27,141.54,94.43,0.07267629905939242,1
0.073,8.68463488108036,0.012,0.169,110.66,106.75,131.53,124.95,88.87,105.97,135.66,0.05489847957072951,1
0.697,1.0370544192546052,0.005,0.006,90.26,106.85,361.71,323.54,121.64,139.36,0.0,0.66569336889278,1
0.854,0.32316733305008544,0.035,0.041,110.01,24.25,-524.91,-538.08,90.45,96.69,0.0,0.7948746028023281,1
-0.383,1.240458302898483,-0.218,0.57,89.42,100.52,374.68,143.91,143.56,101.77,98.1,-0.4227529009056047,-1
0.119,4.29123725501351,0.002,0.019,98.66,94.3,111.68,109.97,111.41,68.25,0.0,0.10991738516741649,1
0.096,1.5091576921862184,-0.066,-0.686,96.62,92.04,25.71,-18.75,56.37,85.62,0.0,0.10012525066500592,1
0.272,2.8032477521187293,0.01,0.035,152.88,152.99,431.83,481.0,284.48,110.28,0.0,0.25369942736709816,1
0.194,1.524213331547493,0.023,0.119,89.25,59.73,38.39,47.01,41.84,86.69,123.93,0.1588616037420482,1
0.238,3.8926384256906954,0.038,0.159,104.87,97.69,153.77,142.03,68.67,121.47,110.9,0.19574369221119942,1
0.22,3.342724231866942,0.008,0.036,97.81,95.46,513.28,484.01,179.28,111.77,0.0,0.19932739442326558,1
0.215,2.1469298454118007,0.024,0.113,106.18,104.46,1897.08,1790.88,174.34,97.7,0.0,0.16282953078083454,1
0.116,9.106662505618331,0.007,0.059,106.47,111.36,68.22,71.35,111.93,108.55,0.0,0.06324771943883185,1
0.333,1.3491863020828927,0.024,0.072,161.12,289.11,217.66,339.66,31.11,82.21,0.0,0.30572232074021466,1
0.034,2.259928132517395,0.006,0.184,108.02,105.53,78.22,68.87,66.79,158.1,55.42,0.02771106523394126,1
0.135,4.163477360792514,0.022,0.165,265.59,353.58,-119.27,-235.82,74.1,73.11,0.0,0.10487207141117472,1
0.507,0.952775450624656,0.045,0.088,90.49,119.39,86.31,82.12,90.04,161.15,50.77,0.4457189828461462,1
0.346,0.9392217109134476,0.005,0.015,73.69,99.29,54.55,57.94,125.1,175.12,0.0,0.3217813360493399,1
0.225,0.7993109702777681,-0.339,-1.508,64.79,28.58,-14658.14,-24446.57,28.99,264.34,0.0,0.17006358349151787,-1
0.104,1.4541163609271766,0.012,0.117,168.71,183.58,66.97,110.88,203.02,74.48,0.0,0.08060608611203884,1
0.264,0.5630679761919258,0.036,0.138,109.24,85.88,210.58,198.75,82.28,127.88,20850.94,0.15119041637992647,1
0.224,2.426471296086309,0.005,0.024,112.48,122.74,451.53,478.25,136.12,164.12,0.0,0.21646186226554506,1
0.916,0.19942688466046474,-0.019,-0.02,120.21,722.51,145.33,155.84,114.8,88.27,0.0,0.8858041722982996,1
0.325,1.4883784714647132,0.011,0.032,68.1,68.85,15.32,10.08,90.45,88.54,0.0,0.31141559389270257,1
0.812,0.44456193000821925,0.12,0.148,116.19,90.68,572.04,566.39,7.48,100.0,1775.22,0.6718136949489972,1
0.783,0.8431061725902398,0.023,0.029,101.15,45.08,146.76,146.91,192.43,121.08,0.0,0.7550230924194542,1
0.189,1.928363007443656,0.006,0.029,118.79,119.63,15.32,17.59,132.93,98.96,0.0,0.17204928761749994,1
0.214,4.281336919368706,0.001,0.004,190.58,275.32,-1.25,-2.36,75.12,67.05,0.0,0.20824715387013681,1
